"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","480","test_search_repeatability","tests","Fri Apr 24 13:27:40 UTC 2026","passed","Fri Apr 24 13:27:40 UTC 2026","","test_search_edge_cases","",""
"","153","test_search_valid_query_returns_results","tests","Fri Apr 24 13:27:40 UTC 2026","passed","Fri Apr 24 13:27:41 UTC 2026","","test_search_positive","",""
"","139","test_search_response_schema","tests","Fri Apr 24 13:27:41 UTC 2026","passed","Fri Apr 24 13:27:41 UTC 2026","","test_search_schema","",""
"","178","test_search_no_results","tests","Fri Apr 24 13:27:39 UTC 2026","passed","Fri Apr 24 13:27:40 UTC 2026","","test_search_edge_cases","",""
"","291","test_search_with_valid_query","tests","Fri Apr 24 13:27:39 UTC 2026","passed","Fri Apr 24 13:27:39 UTC 2026","","test_search_basic","",""
"","443","test_search_multiple_queries","tests","Fri Apr 24 13:27:41 UTC 2026","passed","Fri Apr 24 13:27:41 UTC 2026","","test_search_positive","",""
"","149","test_search_value_types","tests","Fri Apr 24 13:27:41 UTC 2026","passed","Fri Apr 24 13:27:41 UTC 2026","","test_search_schema","",""
"","38","test_search_empty_query","tests","Fri Apr 24 13:27:40 UTC 2026","passed","Fri Apr 24 13:27:40 UTC 2026","","test_search_negative","",""
"","188","test_search_with_page_limit","tests","Fri Apr 24 13:27:40 UTC 2026","passed","Fri Apr 24 13:27:40 UTC 2026","","test_search_edge_cases","",""
"","34","test_search_invalid_option","tests","Fri Apr 24 13:27:40 UTC 2026","passed","Fri Apr 24 13:27:40 UTC 2026","","test_search_negative","",""
"","40","test_search_invalid_index","tests","Fri Apr 24 13:27:40 UTC 2026","passed","Fri Apr 24 13:27:40 UTC 2026","","test_search_negative","",""
